"Date/Time","Max(Air Temp)","Min(Air Temp)","Avg(Air Temp)","Max(Relative humidity)","Min(Relative humidity)","Avg(Relative humidity)","Max(Pressure)","Min(Pressure)","Avg(Pressure)","Max(Wind Speed)","Min(Wind Speed)","Avg(Wind Speed)","Accumulation(Rainfall)","Minutes(Leaf)","Max(Solar)","Avg(Solar)","Max(Inside Temp)","Min(Inside Temp)","Avg(Inside Temp)"
"January","48.2","-32.1","13.6","99","40","83","29.18","27.98","28.49","36.6","0.0","4.3","0.83","0","0","0","66.0","40.9","55.7"
"February","58.7","-15.1","20.7","98","36","75","28.86","27.98","28.45","44.2","0.0","4.5","0.80","0","0","0","72.0","42.0","54.6"
"March","62.1","-11.0","26.0","98","19","67","29.20","27.72","28.69","40.1","0.0","4.7","1.17","0","0","0","76.0","42.9","56.1"
"April","65.5","21.5","42.7","98","23","65","28.97","28.10","28.58","29.6","0.0","4.3","1.82","0","0","0","82.0","48.9","62.0"
"May","77.7","31.5","52.7","98","20","63","28.94","28.16","28.50","29.1","0.0","4.1","1.38","0","0","0","85.0","53.0","65.1"
"June","85.5","38.2","64.0","98","20","67","28.82","27.93","28.47","31.1","0.0","4.3","3.42","0","0","0","86.0","57.9","69.4"
"July","91.2","46.3","68.6","97","34","73","28.83","28.35","28.63","34.0","0.0","3.2","1.58","0","0","0","87.0","58.9","70.5"
"August","84.0","48.2","63.4","97","35","77","28.88","28.36","28.65","28.6","0.0","2.4","4.39","0","0","0","84.0","58.0","68.6"
"September","84.2","37.2","58.5","95","23","79","29.01","28.03","28.60","30.5","0.0","4.1","3.49","0","0","0","80.0","57.9","66.4"
"October","74.2","21.3","45.6","94","20","71","28.94","27.95","28.50","33.2","0.0","5.5","2.48","0","0","0","74.0","50.9","61.1"
"November","45.6","-6.3","25.4","94","39","81","29.05","27.87","28.55","40.1","0.0","5.8","0.56","0","0","0","64.0","43.9","54.3"
"December","45.8","-32.2","9.9","176","48","81","29.14","27.92","28.57","42.7","0.0","4.7","0.28","0","0","0","61.0","30.9","50.6"
""
"Year","91.2","-32.2","41.0","176","19","73","29.20","27.72","28.56","44.2","0.0","4.3","22.20","0","0","0","87.0","30.9","61.2"
