"Time","Temp Avg","Temp Low","Temp High","Hum Avg","Hum Low","Hum High","Baro Avg","Baro Low","Baro High","Windspeed","Gust","Wind Direction","Interval Precip","Leaf Wetness (Minutes)","Solar Radiation Avg","Inside Temp Avg","Inside Temp Low","Inside Temp High","Heat Index","Wind Chill","Dew Point","UV Index","Station Voltage","Station Voltage 2","t1ia","t1il","t1ih","t2ia","t2il","t2ih","wetbulb","s2ia","smia","lvl1","lvl2","lvl3"
"2019-01-01 00:00:00","-11.21","-12.40","-10.30","82","82","82","28.88","28.87","28.89","3.37667","7.2","292","0.00",,,"46.52","46.00","47.00","-11.21","-18.1","-15.2",,"6.8",,,,,,,,"-11.6",,,,,
"2019-01-01 01:00:00","-13.39","-14.80","-12.40","82","81","82","28.89","28.89","28.90","4.40167","8.4","292","0.00",,,"45.92","45.00","47.00","-13.39","-21.7","-17.4",,"6.8",,,,,,,,"-13.9",,,,,
"2019-01-01 02:00:00","-16.14","-17.50","-14.80","81","81","81","28.90","28.90","28.90","3.27833","8.5","294","0.00",,,"45.14","45.00","46.00","-16.14","-24.4","-20.3",,"6.7",,,,,,,,"-16.4",,,,,
"2019-01-01 03:00:00","-18.32","-19.10","-17.50","81","81","82","28.91","28.90","28.91","2.27500","5.5","292","0.00",,,"45.15","45.00","46.00","-18.32","-26.4","-22.2",,"6.7",,,,,,,,"-18.6",,,,,
"2019-01-01 04:00:00","-19.98","-20.80","-19.10","82","81","82","28.91","28.90","28.91","0.94500","3.7","270","0.00",,,"44.37","44.00","46.00","-19.98","-24.5","-23.8",,"6.7",,,,,,,,"-20.3",,,,,
"2019-01-01 05:00:00","-21.07","-21.60","-20.80","81","81","82","28.89","28.89","28.91","1.99500","5.0","247","0.00",,,"44.19","43.00","45.00","-21.07","-28.3","-25.0",,"6.6",,,,,,,,"-21.3",,,,,
"2019-01-01 06:00:00","-21.15","-22.10","-20.80","81","81","82","28.88","28.87","28.89","2.01167","5.0","292","0.00",,,"43.97","43.00","45.00","-21.15","-28.3","-25.2",,"6.6",,,,,,,,"-21.4",,,,,
"2019-01-01 07:00:00","-22.98","-23.50","-22.10","81","81","81","28.88","28.87","28.89","0.81333","3.5","270","0.00",,,"43.46","43.00","44.00","-22.98","-27.4","-26.9",,"6.6",,,,,,,,"-23.2",,,,,
"2019-01-01 08:00:00","-22.64","-23.10","-22.30","81","81","81","28.89","28.89","28.89","0.90333","3.7","270","0.00",,,"41.69","41.00","43.00","-22.64","-27.3","-26.6",,"6.5",,,,,,,,"-22.9",,,,,
"2019-01-01 09:00:00","-22.74","-23.10","-22.10","81","81","81","28.90","28.89","28.92","0.82667","4.0","270","0.00",,,"40.05","40.00","41.00","-22.74","-27.0","-26.7",,"6.6",,,,,,,,"-23.0",,,,,
"2019-01-01 10:00:00","-17.36","-22.10","-13.30","83","81","86","28.94","28.92","28.96","0.91333","4.7","180","0.00",,,"43.35","41.00","45.00","-17.36","-21.1","-21.0",,"7.7",,,,,,,,"-17.6",,,,,
"2019-01-01 11:00:00","-12.18","-13.90","-9.30","85","85","86","28.94","28.94","28.95","1.96833","4.0","247","0.00",,,"45.84","45.00","46.00","-12.18","-18.0","-15.4",,"7.7",,,,,,,,"-12.5",,,,,
"2019-01-01 12:00:00","-4.62","-9.30","-2.80","84","79","86","28.92","28.89","28.94","0.92167","5.5","270","0.00",,,"45.96","46.00","46.00","-4.62","-6.0","-8.2",,"7.7",,,,,,,,"-5.1",,,,,
"2019-01-01 13:00:00","-2.55","-5.20","0.00","72","64","79","28.87","28.86","28.89","2.19333","5.7","247","0.00",,,"46.68","46.00","48.00","-2.55","-5.3","-9.3",,"7.7",,,,,,,,"-3.5",,,,,
