"Time","Temp Avg","Temp Low","Temp High","Hum Avg","Hum Low","Hum High","Baro Avg","Baro Low","Baro High","Windspeed","Gust","Wind Direction","Interval Precip","Leaf Wetness (Minutes)","Solar Radiation Avg","Inside Temp Avg","Inside Temp Low","Inside Temp High","Heat Index","Wind Chill","Dew Point","UV Index","Station Voltage","Station Voltage 2","t1ia","t1il","t1ih","t2ia","t2il","t2ih","wetbulb","s2ia","smia","lvl1","lvl2","lvl3"
"2019-01-14 00:00:00","24.10","24.10","24.10","92","93","93","28.76","28.76","28.76","3.4","5.4","280","0.00",,,"54.90","55.00","55.00","24.10","24.1","22.1",,"6.3",,,,,,,,"23.4",,,,,
"2019-01-14 00:01:00","24.10","24.10","24.10","92","93","93","28.76","28.76","28.76","3.8","5.5","99","0.00",,,"54.90","55.00","55.00","24.10","24.1","22.1",,"6.3",,,,,,,,"23.4",,,,,
"2019-01-14 00:02:00","24.10","24.10","24.10","93","93","93","28.76","28.76","28.76","4.9","6.5","287","0.00",,,"55.00","55.00","55.00","24.10","24.1","22.4",,"6.3",,,,,,,,"23.5",,,,,
"2019-01-14 00:03:00","24.00","24.00","24.10","93","93","93","28.76","28.76","28.76","4.5","6.7","279","0.00",,,"55.00","55.00","55.00","24.00","24.0","22.3",,"6.3",,,,,,,,"23.5",,,,,
"2019-01-14 00:04:00","24.00","24.00","24.00","93","93","93","28.76","28.76","28.76","4.4","7.7","290","0.00",,,"55.00","55.00","55.00","24.00","24.0","22.3",,"6.3",,,,,,,,"23.5",,,,,
"2019-01-14 00:05:00","24.00","24.00","24.00","93","93","93","28.76","28.76","28.76","3.6","4.9","281","0.00",,,"55.00","55.00","55.00","24.00","24.0","22.3",,"6.3",,,,,,,,"23.5",,,,,
"2019-01-14 00:06:00","23.90","23.80","24.00","92","93","93","28.76","28.76","28.76","4.0","6.5","285","0.00",,,"54.90","55.00","55.00","23.90","23.9","21.9",,"6.3",,,,,,,,"23.2",,,,,
"2019-01-14 00:07:00","23.80","23.80","23.80","93","93","93","28.76","28.76","28.76","5.0","6.7","299","0.00",,,"55.00","55.00","55.00","23.80","23.8","22.1",,"6.3",,,,,,,,"23.1",,,,,
"2019-01-14 00:08:00","23.80","23.80","23.80","93","93","93","28.76","28.76","28.76","4.2","6.0","289","0.00",,,"55.00","55.00","55.00","23.80","23.8","22.1",,"6.3",,,,,,,,"23.1",,,,,
"2019-01-14 00:09:00","23.80","23.80","23.80","93","93","93","28.76","28.76","28.76","4.3","5.0","282","0.00",,,"55.00","55.00","55.00","23.80","23.8","22.1",,"6.3",,,,,,,,"23.1",,,,,
"2019-01-14 00:10:00","23.80","23.80","23.80","93","93","93","28.76","28.76","28.76","3.0","4.4","302","0.00",,,"55.00","55.00","55.00","23.80","23.8","22.1",,"6.3",,,,,,,,"23.1",,,,,
"2019-01-14 00:11:00","23.80","23.80","23.80","93","93","93","28.76","28.76","28.76","5.5","6.7","292","0.00",,,"55.00","55.00","55.00","23.80","23.8","22.1",,"6.3",,,,,,,,"23.1",,,,,
