"Plot Title: H03"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20157551, SEN S/N: 20150392, LBL: 03OT)","Solar Radiation, W/m² (LGR S/N: 20157551, SEN S/N: 20702163, LBL: 03PYRO)","RH, % (LGR S/N: 20157551, SEN S/N: 20150392, LBL: 03RH)","Water Content, m³/m³ (LGR S/N: 20157551, SEN S/N: 21091567, LBL: 03SM20)","Water Content, m³/m³ (LGR S/N: 20157551, SEN S/N: 21091548, LBL: 03SM40)","Water Content, m³/m³ (LGR S/N: 20157551, SEN S/N: 21091552, LBL: 03SM60)","Water Content, m³/m³ (LGR S/N: 20157551, SEN S/N: 21091551, LBL: 03SM80)","Temp, °C (LGR S/N: 20157551, SEN S/N: 21077385, LBL: 03T20)","Temp, °C (LGR S/N: 20157551, SEN S/N: 21077383, LBL: 03T40)","Temp, °C (LGR S/N: 20157551, SEN S/N: 21094114, LBL: 03T60)","Temp, °C (LGR S/N: 20157551, SEN S/N: 21094104, LBL: 03T80)","Batt, V (LGR S/N: 20157551)"
1,11/02/21 10:00:55 AM,-0.423,31.9,82.700,0.1153,0.1872,0.1047,0.1020,7.619,8.891,9.386,9.977,4.375
2,11/02/21 10:10:55 AM,-0.620,31.9,82.600,0.1153,0.1872,0.1047,0.1020,7.645,8.891,9.386,9.952,4.387
3,11/02/21 10:20:55 AM,-0.563,31.9,82.200,0.1153,0.1872,0.1047,0.1020,7.619,8.891,9.386,9.952,4.369
4,11/02/21 10:30:55 AM,-0.451,33.1,82.300,0.1153,0.1872,0.1047,0.1020,7.619,8.891,9.386,9.952,4.363
5,11/02/21 10:40:55 AM,-0.367,33.1,82.600,0.1153,0.1872,0.1047,0.1020,7.619,8.891,9.386,9.952,4.363
6,11/02/21 10:50:55 AM,-0.227,35.6,81.700,0.1153,0.1872,0.1047,0.1020,7.619,8.891,9.386,9.952,4.363
7,11/02/21 11:00:55 AM,-0.032,45.6,81.300,0.1159,0.1872,0.1047,0.1020,7.619,8.891,9.386,9.952,4.369
8,11/02/21 11:10:55 AM,0.218,60.6,80.300,0.1159,0.1872,0.1047,0.1014,7.594,8.866,9.386,9.952,4.381
9,11/02/21 11:20:55 AM,0.577,75.6,79.300,0.1153,0.1872,0.1047,0.1014,7.594,8.866,9.386,9.952,4.363
10,11/02/21 11:30:55 AM,0.797,88.1,77.000,0.1153,0.1872,0.1047,0.1009,7.594,8.866,9.386,9.952,4.363
11,11/02/21 11:40:55 AM,0.962,91.9,76.000,0.1153,0.1872,0.1047,0.1009,7.594,8.866,9.386,9.952,4.375
12,11/02/21 11:50:55 AM,0.962,83.1,75.200,0.1153,0.1872,0.1047,0.1009,7.569,8.866,9.361,9.952,4.363
13,11/02/21 12:00:55 PM,1.071,88.1,73.100,0.1153,0.1872,0.1047,0.1009,7.569,8.866,9.361,9.952,4.363
14,11/02/21 12:10:55 PM,1.235,75.6,72.900,0.1148,0.1872,0.1047,0.1009,7.569,8.866,9.361,9.928,4.363
15,11/02/21 12:20:55 PM,1.317,79.4,72.900,0.1148,0.1872,0.1047,0.1009,7.569,8.866,9.361,9.928,4.363
16,11/02/21 12:30:55 PM,1.289,60.6,73.900,0.1148,0.1872,0.1047,0.1009,7.569,8.866,9.361,9.928,4.369
17,11/02/21 12:40:55 PM,1.153,59.4,74.600,0.1148,0.1872,0.1047,0.1009,7.544,8.841,9.361,9.928,4.363
18,11/02/21 12:50:55 PM,1.153,75.6,74.200,0.1148,0.1872,0.1047,0.1009,7.544,8.841,9.361,9.928,4.381
