"Plot Title: H02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20157553, SEN S/N: 21091030, LBL: 02OT)","Solar Radiation, W/m² (LGR S/N: 20157553, SEN S/N: 20702162, LBL: 02PYRO)","RH, % (LGR S/N: 20157553, SEN S/N: 21091030, LBL: 02RH)","Water Content, m³/m³ (LGR S/N: 20157553, SEN S/N: 21091566, LBL: 02SM20)","Water Content, m³/m³ (LGR S/N: 20157553, SEN S/N: 21091561, LBL: 02SM40)","Water Content, m³/m³ (LGR S/N: 20157553, SEN S/N: 21091564, LBL: 02SM60)","Water Content, m³/m³ (LGR S/N: 20157553, SEN S/N: 21091563, LBL: 02SM80)","Temp, °C (LGR S/N: 20157553, SEN S/N: 21094102, LBL: 02T20)","Temp, °C (LGR S/N: 20157553, SEN S/N: 21094105, LBL: 02T40)","Temp, °C (LGR S/N: 20157553, SEN S/N: 21094106, LBL: 02T60)","Temp, °C (LGR S/N: 20157553, SEN S/N: 21094115, LBL: 02T80)","Batt, V (LGR S/N: 20157553)"
1,09/21/21 09:47:58 AM,11.175,29.4,87.900,0.1904,0.0371,0.0401,0.0797,14.912,14.864,14.505,14.385,4.345
2,09/21/21 09:57:58 AM,11.224,30.6,86.800,0.1898,0.0371,0.0392,0.0797,14.912,14.864,14.505,14.385,4.357
3,09/21/21 10:07:58 AM,11.467,34.4,85.500,0.1898,0.0371,0.0401,0.0797,14.888,14.864,14.505,14.385,4.345
4,09/21/21 10:17:58 AM,11.492,31.9,83.700,0.1898,0.0371,0.0401,0.0797,14.888,14.864,14.505,14.385,4.339
5,09/21/21 10:27:58 AM,11.953,50.6,83.200,0.1898,0.0371,0.0401,0.0797,14.864,14.864,14.505,14.385,4.345
6,09/21/21 10:37:58 AM,12.122,44.4,82.400,0.1904,0.0371,0.0401,0.0797,14.864,14.864,14.505,14.385,4.339
7,09/21/21 10:47:58 AM,12.268,43.1,82.000,0.1904,0.0371,0.0401,0.0797,14.840,14.840,14.505,14.385,4.351
8,09/21/21 10:57:58 AM,12.461,45.6,79.500,0.1898,0.0363,0.0401,0.0797,14.840,14.840,14.505,14.385,4.345
9,09/21/21 11:07:58 AM,12.630,43.1,78.600,0.1898,0.0363,0.0401,0.0797,14.840,14.840,14.505,14.385,4.351
10,09/21/21 11:17:58 AM,13.040,53.1,77.200,0.1898,0.0371,0.0401,0.0797,14.816,14.840,14.505,14.385,4.339
11,09/21/21 11:27:58 AM,13.209,56.9,74.400,0.1898,0.0363,0.0401,0.0797,14.816,14.840,14.505,14.385,4.363
12,09/21/21 11:37:58 AM,13.522,56.9,74.200,0.1895,0.0363,0.0401,0.0797,14.792,14.840,14.505,14.385,4.339
13,09/21/21 11:47:58 AM,13.137,38.1,72.200,0.1895,0.0363,0.0401,0.0794,14.792,14.840,14.505,14.385,4.351
14,09/21/21 11:57:58 AM,13.642,66.9,72.400,0.1895,0.0363,0.0401,0.0797,14.768,14.840,14.505,14.385,4.339
15,09/21/21 12:07:58 PM,13.834,61.9,69.000,0.1895,0.0363,0.0401,0.0797,14.768,14.840,14.505,14.385,4.351
16,09/21/21 12:17:58 PM,13.714,44.4,70.500,0.1895,0.0363,0.0401,0.0797,14.745,14.840,14.505,14.385,4.339
17,09/21/21 12:27:58 PM,14.409,84.4,67.700,0.1895,0.0363,0.0401,0.0797,14.745,14.840,14.505,14.385,4.351
18,09/21/21 12:37:58 PM,13.906,46.9,66.200,0.1895,0.0363,0.0401,0.0797,14.745,14.816,14.505,14.385,4.351
19,09/21/21 12:47:58 PM,13.714,34.4,67.500,0.1895,0.0363,0.0401,0.0797,14.721,14.816,14.505,14.385,4.345
20,09/21/21 12:57:58 PM,14.098,86.9,66.700,0.1895,0.0354,0.0401,0.0797,14.721,14.816,14.505,14.385,4.351
21,09/21/21 01:07:58 PM,13.714,29.4,66.700,0.1891,0.0354,0.0401,0.0797,14.697,14.816,14.505,14.385,4.339
22,09/21/21 01:17:58 PM,14.697,88.1,67.500,0.1891,0.0354,0.0401,0.0797,14.697,14.816,14.505,14.385,4.345
23,09/21/21 01:27:58 PM,14.266,34.4,62.100,0.1891,0.0354,0.0401,0.0797,14.697,14.816,14.505,14.385,4.339
24,09/21/21 01:37:58 PM,14.026,39.4,64.900,0.1891,0.0354,0.0401,0.0797,14.673,14.816,14.505,14.385,4.345
25,09/21/21 01:47:58 PM,13.858,38.1,67.100,0.1891,0.0354,0.0401,0.0797,14.673,14.816,14.505,14.385,4.339
26,09/21/21 01:57:58 PM,14.673,73.1,65.700,0.1891,0.0354,0.0401,0.0797,14.673,14.792,14.505,14.385,4.339
27,09/21/21 02:07:58 PM,14.840,93.1,64.800,0.1891,0.0354,0.0401,0.0797,14.649,14.792,14.505,14.385,4.345
28,09/21/21 02:17:58 PM,14.314,31.9,61.900,0.1891,0.0354,0.0401,0.0797,14.649,14.792,14.505,14.385,4.345
29,09/21/21 02:27:58 PM,15.055,84.4,61.400,0.1891,0.0354,0.0401,0.0797,14.649,14.792,14.505,14.409,4.357
30,09/21/21 02:37:58 PM,14.912,38.1,59.400,0.1885,0.0354,0.0401,0.0797,14.649,14.792,14.505,14.385,4.345
31,09/21/21 02:47:58 PM,15.079,64.4,61.200,0.1885,0.0354,0.0401,0.0797,14.625,14.792,14.505,14.409,4.339
32,09/21/21 02:57:58 PM,15.055,41.9,58.400,0.1885,0.0354,0.0401,0.0797,14.625,14.792,14.505,14.385,4.345
33,09/21/21 03:07:58 PM,15.199,50.6,58.200,0.1885,0.0354,0.0401,0.0797,14.625,14.768,14.505,14.409,4.339
34,09/21/21 03:17:58 PM,14.840,38.1,57.400,0.1885,0.0354,0.0401,0.0797,14.625,14.768,14.505,14.409,4.351
35,09/21/21 03:27:58 PM,15.247,60.6,57.300,0.1885,0.0354,0.0401,0.0797,14.601,14.768,14.505,14.409,4.345
36,09/21/21 03:37:58 PM,15.652,55.6,58.500,0.1881,0.0354,0.0401,0.0797,14.601,14.768,14.505,14.409,4.351
37,09/21/21 03:47:58 PM,14.649,21.9,55.600,0.1881,0.0354,0.0401,0.0797,14.601,14.768,14.505,14.409,4.357
38,09/21/21 03:57:58 PM,14.768,53.1,59.600,0.1881,0.0354,0.0401,0.0797,14.601,14.768,14.505,14.409,4.345
39,09/21/21 04:07:58 PM,15.223,89.4,59.400,0.1881,0.0354,0.0401,0.0797,14.601,14.745,14.505,14.409,4.339
40,09/21/21 04:17:58 PM,14.984,36.9,59.900,0.1881,0.0354,0.0401,0.0797,14.577,14.745,14.505,14.409,4.351
41,09/21/21 04:27:58 PM,14.960,14.4,56.900,0.1881,0.0354,0.0401,0.0797,14.577,14.745,14.505,14.409,4.339
42,09/21/21 04:37:58 PM,14.266,14.4,57.900,0.1881,0.0354,0.0401,0.0797,14.577,14.745,14.505,14.409,4.345
43,09/21/21 04:47:58 PM,14.146,23.1,63.500,0.1881,0.0354,0.0401,0.0797,14.577,14.745,14.505,14.409,4.351
44,09/21/21 04:57:58 PM,14.002,10.6,63.600,0.1881,0.0354,0.0401,0.0797,14.577,14.745,14.505,14.409,4.339
45,09/21/21 05:07:58 PM,13.786,6.9,62.900,0.1876,0.0354,0.0401,0.0797,14.553,14.745,14.505,14.409,4.339
46,09/21/21 05:17:58 PM,13.305,9.4,66.800,0.1876,0.0354,0.0401,0.0797,14.553,14.745,14.505,14.409,4.333
47,09/21/21 05:27:58 PM,13.233,11.9,68.800,0.1876,0.0354,0.0401,0.0797,14.553,14.721,14.505,14.409,4.333
48,09/21/21 05:37:58 PM,13.161,10.6,69.600,0.1876,0.0354,0.0401,0.0797,14.553,14.721,14.505,14.409,4.351
49,09/21/21 05:47:58 PM,13.281,10.6,69.900,0.1876,0.0354,0.0401,0.0797,14.553,14.721,14.505,14.409,4.327
50,09/21/21 05:57:58 PM,13.185,8.1,68.600,0.1876,0.0354,0.0401,0.0797,14.553,14.721,14.505,14.409,4.327
51,09/21/21 06:07:58 PM,13.064,6.9,70.500,0.1876,0.0354,0.0401,0.0797,14.553,14.721,14.505,14.409,4.327
52,09/21/21 06:17:58 PM,13.040,5.6,66.600,0.1876,0.0354,0.0401,0.0797,14.553,14.721,14.505,14.409,4.321
53,09/21/21 06:27:58 PM,12.847,3.1,67.200,0.1872,0.0354,0.0401,0.0797,14.553,14.721,14.505,14.409,4.321
54,09/21/21 06:37:58 PM,12.630,1.9,68.500,0.1872,0.0354,0.0401,0.0797,14.529,14.697,14.481,14.409,4.321
55,09/21/21 06:47:58 PM,12.461,1.9,68.100,0.1872,0.0354,0.0401,0.0797,14.529,14.697,14.481,14.409,4.321
56,09/21/21 06:57:58 PM,12.147,0.6,68.800,0.1872,0.0354,0.0401,0.0797,14.529,14.697,14.481,14.385,4.321
57,09/21/21 07:07:58 PM,11.783,0.6,71.300,0.1872,0.0354,0.0401,0.0797,14.529,14.697,14.481,14.385,4.321
58,09/21/21 07:17:58 PM,11.443,0.6,72.400,0.1872,0.0354,0.0401,0.0797,14.529,14.697,14.481,14.385,4.321
59,09/21/21 07:27:58 PM,11.078,0.6,74.800,0.1872,0.0354,0.0401,0.0797,14.529,14.673,14.481,14.385,4.321
60,09/21/21 07:37:58 PM,10.736,0.6,75.700,0.1872,0.0354,0.0401,0.0797,14.529,14.673,14.481,14.385,4.321
61,09/21/21 07:47:58 PM,10.394,0.6,78.100,0.1872,0.0354,0.0401,0.0797,14.529,14.673,14.481,14.385,4.321
62,09/21/21 07:57:58 PM,10.075,0.6,79.800,0.1872,0.0354,0.0401,0.0797,14.505,14.673,14.481,14.385,4.321
63,09/21/21 08:07:58 PM,9.854,0.6,82.200,0.1872,0.0354,0.0401,0.0797,14.505,14.673,14.481,14.385,4.321
64,09/21/21 08:17:58 PM,9.657,0.6,83.600,0.1872,0.0354,0.0401,0.0797,14.505,14.673,14.481,14.385,4.321
65,09/21/21 08:27:58 PM,9.583,0.6,82.200,0.1872,0.0354,0.0401,0.0797,14.505,14.649,14.457,14.385,4.321
66,09/21/21 08:37:58 PM,9.509,0.6,81.000,0.1872,0.0354,0.0401,0.0797,14.505,14.649,14.457,14.385,4.321
67,09/21/21 08:47:58 PM,9.435,0.6,81.800,0.1872,0.0354,0.0401,0.0797,14.505,14.649,14.457,14.385,4.321
68,09/21/21 08:57:58 PM,9.287,0.6,81.800,0.1866,0.0354,0.0401,0.0797,14.505,14.649,14.457,14.385,4.321
69,09/21/21 09:07:58 PM,9.188,0.6,82.600,0.1866,0.0354,0.0401,0.0797,14.505,14.649,14.457,14.385,4.321
70,09/21/21 09:17:58 PM,9.015,0.6,82.400,0.1866,0.0354,0.0401,0.0797,14.505,14.649,14.457,14.385,4.321
71,09/21/21 09:27:58 PM,8.965,0.6,83.400,0.1866,0.0354,0.0401,0.0797,14.481,14.649,14.457,14.385,4.321
72,09/21/21 09:37:58 PM,8.817,0.6,84.000,0.1866,0.0354,0.0401,0.0797,14.481,14.649,14.457,14.385,4.321
73,09/21/21 09:47:58 PM,8.643,0.6,84.200,0.1866,0.0354,0.0401,0.0797,14.481,14.649,14.457,14.385,4.321
74,09/21/21 09:57:58 PM,8.668,0.6,85.200,0.1866,0.0354,0.0401,0.0797,14.481,14.625,14.457,14.385,4.321
75,09/21/21 10:07:58 PM,8.593,0.6,86.100,0.1866,0.0354,0.0401,0.0797,14.481,14.625,14.457,14.385,4.333
76,09/21/21 10:17:58 PM,8.469,0.6,85.800,0.1866,0.0354,0.0401,0.0797,14.481,14.625,14.457,14.385,4.321
77,09/21/21 10:27:58 PM,8.419,0.6,86.900,0.1866,0.0363,0.0401,0.0797,14.481,14.625,14.457,14.385,4.321
78,09/21/21 10:37:58 PM,8.195,0.6,86.000,0.1866,0.0354,0.0401,0.0797,14.457,14.625,14.457,14.385,4.321
79,09/21/21 10:47:58 PM,8.220,0.6,87.500,0.1862,0.0354,0.0401,0.0797,14.457,14.625,14.457,14.385,4.315
