"Plot Title: H01"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20157552, SEN S/N: 20150390, LBL: 01OT)","RH, % (LGR S/N: 20157552, SEN S/N: 20150390, LBL: 01RH)","Temp, °F (LGR S/N: 20157552, SEN S/N: 21077386, LBL: 01T20)","Temp, °F (LGR S/N: 20157552, SEN S/N: 21077387, LBL: 01T40)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091549, LBL: 01SM20)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091554, LBL: 01SM40)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091559, LBL: 01SM80)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091565, LBL: 01SM60)","Solar Radiation, W/m² (LGR S/N: 20157552, SEN S/N: 21091712, LBL: 01PYRO)","Temp, °F (LGR S/N: 20157552, SEN S/N: 21094100, LBL: 01T60)","Temp, °F (LGR S/N: 20157552, SEN S/N: 21094101, LBL: 01T80)","Batt, V (LGR S/N: 20157552)"
1,11/23/21 01:40:27 PM,37.130,72.800,37.942,40.111,0.2052,0.0998,0.2274,0.1629,41.9,42.341,43.488,4.321
2,11/23/21 01:50:27 PM,38.795,71.100,37.942,40.111,0.2052,0.0998,0.2274,0.1623,90.6,42.341,43.488,4.363
3,11/23/21 02:00:27 PM,38.984,69.300,37.942,40.111,0.2052,0.0998,0.2274,0.1629,69.4,42.341,43.488,4.357
4,11/23/21 02:10:27 PM,39.173,68.300,37.942,40.111,0.2052,0.0998,0.2274,0.1623,54.4,42.341,43.488,4.351
5,11/23/21 02:20:27 PM,39.783,67.600,37.942,40.064,0.2052,0.0998,0.2274,0.1629,68.1,42.341,43.488,4.345
6,11/23/21 02:30:27 PM,39.924,67.800,37.942,40.064,0.2052,0.0998,0.2274,0.1623,66.9,42.341,43.488,4.357
7,11/23/21 02:40:27 PM,40.298,67.000,37.942,40.064,0.2052,0.0998,0.2274,0.1629,69.4,42.341,43.488,4.351
8,11/23/21 02:50:27 PM,39.643,67.500,37.942,40.064,0.2052,0.0998,0.2274,0.1623,59.4,42.341,43.488,4.345
9,11/23/21 03:00:27 PM,39.407,68.100,37.942,40.064,0.2052,0.0998,0.2274,0.1629,63.1,42.341,43.488,4.381
10,11/23/21 03:10:27 PM,40.251,67.800,37.942,40.064,0.2052,0.0998,0.2274,0.1623,76.9,42.341,43.443,4.345
11,11/23/21 03:20:27 PM,39.313,67.800,37.942,40.064,0.2052,0.0998,0.2274,0.1623,51.9,42.341,43.488,4.351
12,11/23/21 03:30:27 PM,38.557,68.400,37.942,40.064,0.2052,0.0998,0.2274,0.1623,38.1,42.341,43.443,4.345
13,11/23/21 03:40:27 PM,38.226,69.900,37.942,40.064,0.2052,0.0998,0.2274,0.1629,40.6,42.294,43.443,4.357
14,11/23/21 03:50:27 PM,38.226,70.600,37.942,40.064,0.2052,0.0998,0.2274,0.1623,26.9,42.294,43.443,4.345
15,11/23/21 04:00:27 PM,37.989,71.500,37.942,40.064,0.2052,0.0998,0.2274,0.1629,24.4,42.294,43.443,4.351
16,11/23/21 04:10:27 PM,38.273,70.700,37.942,40.017,0.2052,0.1003,0.2274,0.1623,30.6,42.294,43.443,4.351
17,11/23/21 04:20:27 PM,38.179,70.000,37.942,40.017,0.2052,0.0998,0.2274,0.1629,26.9,42.294,43.443,4.345
18,11/23/21 04:30:27 PM,38.131,69.300,37.893,40.017,0.2052,0.0998,0.2274,0.1623,26.9,42.294,43.443,4.357
19,11/23/21 04:40:27 PM,37.798,69.400,37.893,40.017,0.2052,0.0998,0.2274,0.1629,18.1,42.294,43.443,4.351
