PostCode,Type,Location,No Bedrooms,No Bathrooms,Reception Rooms,Garden Size,Date on Market,Date Sold,Asking Price,Sale Price,
SK13 7AZ,Detatched,Town,4,2,3,Medium,43065,,345000,,
SK22 9GT,Semi-detatched,Village,3,1,2,Small,42934,43132,245000,238500,
SK13 6DD,Terraced,Countryside,2,1,2,Small,43032,43088,199000,199000,
SK14 8DS,Detatched,Town,4,2,2,Large,43391,43123,398000,387500,
SK13 7CW,Semi-detatched,Town,3,1,2,Medium,43068,43453,329000,319500,
SK22 3YT,Detatched,Remote,4,2,3,Large,43021,,478500,,
SK13 4DF,Terraced,Town,2,1,2,Small,42983,42751,213000,199500,
SK14 7AD,Semi-detatched,Town,3,2,2,Medium,43037,43149,278500,277000,
SK13 2AA,Semi-detatched,Village,3,1,2,Large,42958,,278500,,
SK13 5YY,Terraced,Town,3,2,1,Small,43038,43129,176500,174300,
SK14 9FT,Bungalow,Countryside,2,2,2,Medium,43055,43113,223750,219750,
SK23 4RF,Flat,Town,1,1,1,None,43054,,135000,,
SK13 1GG,Terraced,Town,3,1,2,Small,43105,43119,165900,168000,
SK13 6YH,Bungalow,Countryside,3,2,2,Large,42993,43097,415500,419500,
SK13 6YH,Bungalow,Countryside,3,2,2,Large,42993,43097,415500,419500,
SK13 6YH,Bungalow,Countryside,3,2,2,Large,42993,43097,415500,419500,
SK13 6YH,Bungalow,Town,2,2,2,Medium,42989,,199500,,
SK22 8BN,Flat,Town,2,1,1,None,43011,43119,175500,169500,
SK14 7JJ,Semi-detatched,Countryside,3,2,2,Medium,43090,43146,319750,315750,
SK22 3LP,Bungalow,Remote,3,2,2,Large,43023,,289500,,
SK13 4DT,Detatched,Countryside,5,2,3,Large,42956,,525750,,
SK13 9SS,Detatched,Town,4,3,2,Medium,43053,43156,495000,495000,
SK14 6HN,Semi-detatched,Town,3,1,2,Medium,42953,43115,369500,362500,
SK14 6HN,Semi-detatched,Remote,2,2,1,small,43104,,176500,,
SK23 3KM,Terraced,Remote,2,1,1,Small,42980,,142500,,
SK13 6YH,Bungalow,Countryside,3,2,2,Large,42993,43097,415500,419500,
SK23 5WW,Bungalow,Countryside,3,2,2,Large,43025,43144,314250,309750,
SK13 8FS,Terraced,Countryside,2,1,1,Small,42970,,178500,,
SK13 4RL,Semi-detatched,Town,3,2,2,Medium,43111,43156,305000,302750,
SK14 7YT,Detatched,Remote,4,2,2,Medium,43039,43146,435000,429500,
SK13 5EE,Semi-detatched,Countryside,3,2,1,Medium,42989,43146,385000,375500,
SK23 4VS,Detatched,Town,4,1,2,Large,42983,43025,405000,405000,
SK16 8NV,Terraced,Town,2,1,1,Small,42949,43069,159000,158500,
SK14 3DD,Semi-detatched,Town,3,2,2,Medium,42953,43080,278000,276500,
SK13 4DE,Terraced,Town,2,1,1,Small,42919,43156,178600,175500,
SK13 6LK,Detatched,Countryside,4,2,2,Large,42971,43117,435000,431750,
SK13 9PF,Semi-detatched,Countryside,3,2,2,Medium,42935,43080,345500,342500,
SK14 8BM,Detatched,Remote,3,2,2,Large,42970,43088,418500,422500,
SK14 6DH,Semi-detatched,Countryside,3,2,2,Medium,43055,,375500,,
SK13 3SS,Terraced,Town,2,1,1,Small,43011,,169500,,
SK13 6YH,Bungalow,Countryside,3,2,2,Large,42993,43097,415500,419500,
SK13 4AK,Bungalow,Countryside,3,2,2,Large,42962,43127,298500,298500,
SK13 4XC,Semi-detatched,Countryside,3,2,2,Medium,42927,43122,331750,330500,
SK14 6RL,Detatched,Remote,4,2,2,Medium,42950,43080,385500,383500,
SK13 7PJ,Semi-detatched,Countryside,3,2,2,Medium,43004,43134,322500,319500,
SK13 6FD,Semi-detatched,Town,4,2,1,Medium,42952,43055,365500,365500,
SK14 3FD,Detatched,Town,3,1,2,Small,42930,,312750,,
SK13 2WD,Detatched,Town,3,2,2,Medium,42910,43104,309500,304500,
SK22 1XV,Terraced,Countryside,2,1,1,Small,43023,43136,204500,203900,
SK13 5LS,Semi-detatched,Town,3,2,2,Medium,42920,,225500,,
SK13 6YH,Bungalow,Countryside,3,2,2,Large,42993,43097,415500,419500,
SK13 6HH,Semi-detatched,Countryside,2,2,2,Medium,42979,43013,209500,209500,
SK14 8GP,Bungalow,Remote,3,2,2,Large,43020,43115,272500,271500,
SK15 6YW,Detatched,Countryside,4,2,2,Large,43038,43156,389500,395000,
SK13 4DD,Semi-detatched,Town,3,2,1,Medium,42892,43123,348500,349500,
SK13 4RF,Bungalow,Town,2,1,1,Small,43132,43174,299950,299950,
