AlbumName,ReleaseDate,ArtistID,GenreID
Catch Bull At Four,1972,46,9
White City (A Novel),1985,79,4
No Plan EP,2017,50,24
Giant For A Day,1978,62,20
Back To Oakland,1974,102,21
Cheat And Start A Fight,2016,41,21
Oklahoma,1956,13,2
"""...Famous Last Words...""",1982,91,20
Nashville Skyline,1969,15,9
Daylight Again,1982,48,4
6 and 12 String Guitar,1969,11,9
Blood Sugar Sex Magik,1991,83,21
Beethoven Fifth and Eigth Symphony ,1972,21,8
Act IV: Rebirth In Reprise,2015,94,20
A Farewell To Kings,1977,87,20
Into the Woods,1988,23,2
Jazz,1978,82,4
Tracy Chapman,1988,24,11
Pieces Of Eight,1978,90,20
Untitled,1971,68,25
A Song For You,1975,98,29
So Far,1977,49,4
Act V: Hymns With The Devil In Confessional,2016,94,20
A Funny Thing Happened on the Way to the Forum,1962,23,2
In The Slot,1975,102,21
The Grand Wazoo,1972,97,9
Journey To The Center Of The Earth,1977,85,20
Feel No Fret,1979,39,21
An Evenings of Chinese Art Songs II,1970,5,5
Strange Universe,1975,73,25
Eroica ,1964,21,8
Bridge Over Troubled Waters,1970,17,11
Running In The Family,1987,70,21
Live - Bursting Out,1978,64,20
Oxygene ,1976,6,6
Systematic Chaos,2007,53,20
Yoshimi Battles The Pink Robots,2011,96,23
I Walk the Line,1964,32,18
Star Trek the Motion Picture,1979,28,12
Crime Of The Century,1974,91,20
Selling England By The Pound,1973,61,24
Bernstein Conducts Mozart: Jupiter and Linz,1971,9,8
The Troublemaker,1976,105,18
Joy To The World - Their Greatest Hits,1975,100,13
Juice,2014,76,28
Aqualung,1971,64,20
Absolutely Live,1970,29,4
Tormato,1978,106,20
Into The Deep,2015,60,21
Black Market,1976,7,20
E Pluribus Funk,1971,63,25
Greatest Hits (& Some That Will Be),1981,105,18
Beethoven's Ninth Symphony,1967,21,14
Heavy Weather,1977,7,7
Fuego,2014,80,9
Scheherazade And Other Stories,1975,84,20
The Six Wives Of Henry VIII,1973,85,20
Hot August Night,1972,19,13
Who's Next,1971,99,4
Even In The Quietest Moments...,1977,91,20
Leftoverture,1976,65,20
Audio-Visions,1980,65,20
Point Of Know Return,1977,65,20
The Color Spectrum Complete Collection,2017,94,20
Brother Where You Bound,1985,91,20
State Fair,1962,16,2
Never A Dull Moment,1972,35,4
American Pie,1971,51,4
Murder Of The Universe,2017,67,20
Grease Motion Picture Soundtrack ,1978,2,10
Tarkus,1971,57,20
Kansas,1974,65,20
Discipline,1981,66,20
Mother Lode,1974,72,13
The Myths And Legends Of King Arthur And The Knights Of The Round Table,1975,85,20
The Band,1969,93,4
Emerson Lake & Palmer,1971,57,20
Fresh,1973,88,21
Apocalypse,2016,101,21
Maps Of Non-Existent Places,2014,92,20
Hall of Fame: Class of 2014,2015,103,20
Cut The Cake,1975,39,21
The Wall,1979,81,4
The Source,2017,40,20
The Prelude Implicit,2016,65,20
Live (P.Funk Earth Tour),1977,78,21
Bob Dylan's Greatest Hits,1967,15,11
Hollywood,1982,75,28
Quadrophenia,1980,99,4
Beethoven Symphonies 2 &4,1953,21,8
Tales From Topographic Oceans,1974,106,20
Physical Graffiti,1975,68,25
Animals,1977,81,4
Embryonic,2009,96,23
Buy U a Drank,2007,22,15
Masque,1975,65,20
Greatest Hits,1979,35,4
Best of Peter Paul and Mary: Ten Years Togther,1970,26,11
Waiting For Columbus,1978,71,26
Close To The Edge,1972,106,20
Good Morning Vietnam,1987,2,12
The Best Of Bread Volume Two,1974,43,22
Bat Out of Hell,1977,8,4
Allas Sak,2015,54,20
The Music Man,1962,2,2
Kind Of Blue,2010,77,28
His band and The Street Choir,1970,31,4
The Dark Side Of The Moon,2011,81,4
Drastic Measures,1983,65,20
His 12 Greatest Hits,1974,19,13
Alpha,1983,38,20
Bump City,1972,102,21
Works Volume 1,1977,57,20
Music for Non-Thinkers,1958,34,19
Chicago,1970,47,20
Flight Of The Conchords,2008,58,9
Bo Dylan's Greatest Hits Vol 2,1971,15,11
Pictures At An Exhibition,1972,57,20
Jesus Christ Superstar,1970,36,2
Stranger Heads Prevail,2016,92,20
Beethoven Sixth Symphony,1976,21,8
The Nutcracker,1985,30,14
Night Moves,1976,10,4
Trilogy,1972,57,20
Slim Slo Slide,1970,33,9
Jesus Christ Superstar,1970,2,2
Paint Your Wagon,1969,2,2
The Soft Bulletin,2011,96,23
Thick As A Brick,1972,64,20
Podipto,1973,18,11
Spirit,1976,55,21
Guitar Man,1972,43,22
Otis Redding Jimi Hendrix Experience ,1970,12,4
The Yes Album,1971,106,20
The Last Record Album,1975,71,26
Mark Twain Tonight,1959,25,16
Fragile,1974,106,20
That's The Way Of The World,1975,55,21
Oklahoma: Movie Soundtrack ,1964,2,12
Mantis,2017,103,20
Sheer Heart Attack,1974,82,4
Similar Skin,2014,103,20
Monolith,1979,65,20
The Mason Williams Phonograph Record,1968,74,27
Jonathan Livingston Seagull (Original Motion Picture Sound Track),1973,19,13
My Fair Lady: Movie Soundtrack ,1964,2,12
A Show Of Hands 15,2011,104,21
The Language and Music of the Wolves,1972,27,17
Imagine,1972,20,13
I Am,1979,55,21
Bootsy? Player Of The Year,1978,42,21
What Were Once Vices Are Now Habits,1974,95,4
Fly,2012,69,21
Trespass,1970,61,24
A Song For You,1972,45,24
Greatest Hits,1974,49,4
Tommy,1969,99,4
Song For America,1975,65,20
Stand Up,1969,64,20
Woodstock,1970,2,4
Sound of Music,1965,16,2
Cognac And Bologna,1980,52,24
Fleetwood Mac,1975,14,4
Vinyl Confessions,1982,65,20
Pedal To The Metal And Damn The Consequences,2016,59,4
Dixie Chicken,1973,71,26
Crisis? What Crisis?,1975,91,20
Breakfast In America,1979,91,20
Brain Salad Surgery,1973,57,20
Power,1986,65,20
Man of La Mancha,1966,2,2
A Night At The Opera,1975,82,4
Hall Of Fame: Class Of 2013,2014,103,20
Centipede Hz,2012,37,6
50 Great Moments of Music,1950,2,14
Time,1981,56,20
How the West was Won,1962,2,2
Cage The Elephant,2009,44,23
Benefit,1970,64,20
McVicar (Original Soundtrack Recording),1980,86,4
Fiddler on the Roof: Motion Picture Soundtrack,1971,2,2
Clouds Taste Metallic,2011,96,23
The Game,1980,82,4
Topelo Honey,1971,31,4
Sooner Or Later,2016,89,24
