ArtistID,ArtistName
1,Buddy Holly
2,Various 
3,2 Pac
4,Eagles
5,Huang Yau-Tai
6,Jean Michel Jarre
7,Weather Report
8,Meatloaf
9,New York Philharmonic 
10,Bob Seger 
11,Leo Kottke
12,Otis Redding/Jimi Hendrix
13,Richard Rodgers
14,Fleetwood Mac
15,Bob Dylan
16,Rodgers and Hammerstein
17,Simon and Garfunkel
18,Podipto
19,Neil Diamond
20,John Lennon
21,Beethoven 
22,T-Pain
23,Stephen Sondheim
24,Tracy Chapman
25,Hal Holbrook
26,Peter Paul and Mary
27,Robert Redford
28,Jerry Goldsmith
29,The Doors
30,Tchaikovsky/ St. Louis Symphony Orchestra
31,Van Morrison
32,Johnny Cash
33,Johnny Rivers
34,Guckenheimer Saurkraut Band
35,Rod Stewart
36,Andrew Lloyd Webber And Tim Rice
37,Animal Collective
38,Asia (2)
39,Average White Band
40,Ayreon
41,Black Market Brass
42,Bootsy's Rubber Band
43,Bread
44,Cage The Elephant
45,Carpenters
46,Cat Stevens
47,Chicago (2)
48,Crosby Stills & Nash
49,Crosby Stills Nash & Young
50,David Bowie
51,Don McLean
52,Doug And The Slugs
53,Dream Theater
54,Dungen
55,Earth Wind & Fire
56,Electric Light Orchestra
57,Emerson Lake & Palmer
58,Flight Of The Conchords
59,Fret Rattles
60,Galactic
61,Genesis
62,Gentle Giant
63,Grand Funk Railroad
64,Jethro Tull
65,Kansas (2)
66,King Crimson
67,King Gizzard And The Lizard Wizard
68,Led Zeppelin
69,Lettuce (3)
70,Level 42
71,Little Feat
72,Loggins And Messina
73,Mahogany Rush
74,Mason Williams
75,Maynard Ferguson
76,Medeski Scofield Martin & Wood
77,Miles Davis
78,Parliament
79,Pete Townshend
80,Phish
81,Pink Floyd
82,Queen
83,Red Hot Chili Peppers
84,Renaissance (4)
85,Rick Wakeman
86,Roger Daltrey
87,Rush
88,Sly & The Family Stone
89,Sonny Knight & The Lakers
90,Styx
91,Supertramp
92,Thank You Scientist
93,The Band
94,The Dear Hunter
95,The Doobie Brothers
96,The Flaming Lips
97,The Mothers
98,The Temptations
99,The Who
100,Three Dog Night
101,Thundercat
102,Tower Of Power
103,Umphrey's McGee
104,Victor Wooten
105,Willie Nelson
106,Yes
