Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
T-482,Mahogany Rush,Strange Universe,20th Century Records,"LP, Album",,1975,1991523,Uncategorized,2014-07-21 08:03:03,,,
395 014-1,Supertramp,Brother Where You Bound,A&M Records,"LP, Album, Emb",,1985,427124,Uncategorized,2016-12-08 19:51:34,,,
AMLH 63621,Rick Wakeman,Journey To The Center Of The Earth,A&M Records,"LP, RE, Gat",,1977,4040749,Uncategorized,2016-12-08 19:18:43,,,
AMLS 68258,Supertramp,Crime Of The Century,A&M Records,"LP, Album",,1974,1300867,Uncategorized,2014-07-21 07:55:32,,,
SP 4365,Cat Stevens,Catch Bull At Four,A&M Records,"LP, Album, Gat",,1972,892301,Uncategorized,2014-07-21 08:05:53,,,
SP-3708,Supertramp,Breakfast In America,A&M Records,"LP, Album, Ter",,1979,617486,Uncategorized,2014-07-21 08:02:35,,,
SP-3732,Supertramp,"""...Famous Last Words...""",A&M Records,"LP, Album, Pit",,1982,4730114,Uncategorized,2014-07-21 08:44:40,,,
SP-4515,Rick Wakeman,The Myths And Legends Of King Arthur And The Knights Of The Round Table,A&M Records,"LP, Album, Gat",,1975,519795,Uncategorized,2014-07-21 08:15:54,,,
SP-4560,Supertramp,Crisis? What Crisis?,A&M Records,"LP, Album",,1975,681252,Uncategorized,2016-12-08 19:51:16,,,
SP-4634,Supertramp,Even In The Quietest Moments...,A&M Records,"LP, Album",,1977,1857870,Uncategorized,2014-07-21 08:13:58,,,
SP-4724,Styx,Pieces Of Eight,A&M Records,"LP, Album, Pit",,1978,1428717,Uncategorized,2014-07-21 08:02:51,,,
"SP 3511, SP-3511",Carpenters,A Song For You,"A&M Records, A&M Records","LP, Album, RP",,1972,1580333,Uncategorized,2014-07-21 08:06:32,,,
"SP-3621, SP 3621",Rick Wakeman,Journey To The Centre Of The Earth,"A&M Records, A&M Records","LP, Album",,1974,1327321,Uncategorized,2014-07-21 08:43:16,,,
"SP-4361, SP 4361",Rick Wakeman,The Six Wives Of Henry VIII,"A&M Records, A&M Records","LP, Album, Gat",,1973,461547,Uncategorized,2016-12-08 19:29:41,,,
DSD-50178,Three Dog Night,Joy To The World - Their Greatest Hits,"ABC/Dunhill Records, ABC Records","LP, Comp",,1975,1023873,Uncategorized,2014-07-21 09:03:30,,,
252 392-1,Pete Townshend,White City (A Novel),ATCO Records,"LP, Album",,1985,927317,Uncategorized,2016-12-08 19:47:43,,,
SD 18100,"Crosby, Stills, Nash & Young",Greatest Hits,Atlantic,"LP, Comp",,1974,1725428,Uncategorized,2016-12-08 19:47:02,,,
SD 18140,Average White Band,Cut The Cake,Atlantic,"LP, Album, MO ",,1975,2974516,Uncategorized,2014-07-21 08:45:18,,,
SD 19119,"Crosby, Stills, Nash & Young",So Far,Atlantic,"LP, Comp, RE",,1977,4872194,Uncategorized,2014-07-21 08:24:27,,,
SD 19202,Yes,Tormato,Atlantic,"LP, Album",,1978,1329918,Uncategorized,2014-07-21 08:48:24,,,
SD 19207,Average White Band,Feel No Fret,Atlantic,"LP, Album, Mon",,1979,696713,Uncategorized,2016-12-08 19:30:15,,,
SD 19360,"Crosby, Stills & Nash",Daylight Again,Atlantic,"LP, Album, AR",,1982,1427714,Uncategorized,2014-07-21 08:05:32,,,
SD 2-7000,"Emerson, Lake & Palmer",Works Volume 1,Atlantic,"2xLP, Album, MO",,1977,5079437,Uncategorized,2014-07-21 09:01:12,,,
SD 2-908,Yes,Tales From Topographic Oceans,Atlantic,"2xLP, Album, Pre",,1974,476248,Uncategorized,2016-12-08 19:22:16,,,
SD 7208,Led Zeppelin,Untitled,Atlantic,"LP, Album, Club, Gat",,1971,4613123,Uncategorized,2014-07-21 08:51:16,,,
